Order,I2,N2,O2,H2O
117,0,1.463739676,0.587870482,100.2817025
118,3.320646057,0.778830964,0.271368223,0.267756247
119,0.230293318,0.417520438,0.154873449,1.753425592
120,8.631179108,1.717664287,0.567608264,0.215704799
121,2.971945374,1.694503483,0.569468373,0.173470516
122,149.4534099,1.37530845,0.525886695,0.276683002
123,1.578640125,1.131658462,0.400761266,0.531837515
124,522.3190288,1.315626696,0.472509539,0.240066024
125,0.183477449,0.863963592,0.272626069,131.2732698
126,99.66196687,0.544485989,0.185620687,0.190803383
127,157.9625732,0.511134609,0.204056657,0.086710093
128,49.84097343,1.424940307,0.459872944,33.68187424
129,85.60483789,1.857854207,0.686890805,28.22588587
130,276.7955309,0.630951176,0.229553668,29.6075886
131,0.005472123,0.250931266,0.090086652,128.5126566
132,0.011096416,0.248611842,0.093013825,130.4668883
133,6.10917154,1.334672431,0.434301861,55.17485447
134,79.31145282,0.555308208,0.197645746,4.372975824
135,99.68950708,1.953302955,0.834107613,0.140604164
136,74.03884702,0.413482455,0.153893957,0.039370035
137,29.57636407,0.529163908,0.19955402,0.259566161
138,74.89984577,2.071425157,0.745022996,0.387418749
139,135.4095638,0.306274811,0.110655805,2.755566814
140,42.45200868,0.661450416,0.216645883,0.418064079
141,108.034592,0.021763005,0.00923031,0.011180369
142,122.2766114,0.848908736,0.290184332,107.1838081
143,91.64756662,0.819523915,0.278059328,132.5115848
144,116.057005,1.498654121,0.5313527,32.06622547
145,46.514279,1.507123979,0.536219543,38.67205492
146,16.48377437,0.457572214,0.14491736,31.35031993
147,75.81253686,1.335847779,0.515271033,0.271865483
148,334.4354936,0.060524048,0.050347537,0.027123628
149,2.353354605,1.016343737,0.317331634,1.697023133
150,2.207761323,1.008213292,0.313625507,1.173595136
151,2.366150215,1.005312288,0.301417091,5.683917944
152,2.473702497,1.010999783,0.30490521,4.398361307
153,2.489264724,1.036688934,0.315587574,4.931240121
154,2.548747016,1.025771999,0.319511708,5.058273835
155,74.25871926,0.855601643,0.313206204,2.346881659
156,1.010965323,0.342359404,0.157010281,0.037304199
157,1.623311793,0.441182037,0.191072303,0.041087775
158,92.59346572,0.329643718,0.111063188,0.2140635
159,106.0697046,0.308509406,0.104402341,0.194546677
160,120.0847596,0.288502687,0.098183097,0.188248254
161,124.8015891,0.288373819,0.099507906,0.197695889
162,155.3268051,0.153320301,0.066937282,174.5955074
163,0.299738125,0.468024086,0.164944352,57.73256181
164,2.425048636,0.381236975,0.135999416,0.284438213
165,32.67289882,0.616373124,0.23364229,0.083639279
166,35.62800476,1.535697744,0.51205865,26.40272535
167,0.699757176,0.051404777,0.018915816,71.76085007
168,181.7458813,0.713578129,0.250818022,95.9574465
169,2.164088436,0.413533447,0.155949615,0.035026416
170,0,0.028726887,0.012675562,111.3008125
171,59.13920846,1.080610326,0.350480683,14.18525734
172,200.1028493,0.284331527,0.185809496,0.262505239
173,65.30630489,0.290506972,0.10520728,0.341378661
174,6.644406887,2.006304036,0.643123522,32.89626888
175,65.83934504,0.532882648,0.164390931,72.15424008
176,1.867908644,0.522925202,0.203322583,13.8520542
177,472.5630299,0.50402669,0.228072882,51.96063861
178,229.1253839,0.605369526,0.209800305,52.58829055
179,0.067466507,0.935847047,0.3332742,50.01706483
180,832.8972257,0.019137,0.00646549,0.008022994
181,3.233377776,0.960471847,0.326935167,4.770697478
182,56.92899806,1.00166314,0.36827545,52.43265087
183,29.77650134,0.930945374,0.34627801,55.39398488
184,427.0536034,0.462656981,0.16320123,25.63084728
185,1.248980394,1.201761731,0.387238476,51.79363225
186,0,0.132273238,0.064237139,74.84400699
187,2.13374977,0.680356362,0.232335986,1.547072175
188,2.016342486,0.646717297,0.221752506,1.962139665
189,225.9906509,0.591159227,0.203736781,1.629815032
190,15.52541249,1.013195823,0.395579953,0.878253535
191,109.0895657,0.780204676,0.268841962,12.34047021
192,13.09560203,2.021180324,0.667479795,0.218190455
193,3.066420152,1.034311626,0.330537942,0.586068355
194,0,0.000858906,0.001843274,181.9731638
195,0,0.001287044,0.001646562,185.7161401
196,2.477753508,1.886706611,0.696039033,0.268552495
197,1.631929445,1.317836535,0.427939462,0.19810175
198,170.5604814,1.500067901,0.505065676,3.432718288
199,5.535854997,1.656897182,0.542417268,0.287713899
200,509.8683756,0.34253557,0.166506046,0.041195705
