ID,linker
109,[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
110,[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
111,[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
112,[O-]C(=O)c1ccc(cc1)[CH][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
113,[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
114,[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
115,
116,[O-]C(=O)c1cncc(c1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
117,[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-]
118,NC1=C2N=CN=C2[N]C=N1
119,[O]S(CCS([O])([O])[O])([O])[O]
120,N1=NC=C([CH]1)c1ccc(cc1)C1=CN=N[CH]1
121,N1=N[C]2C(=N1)C=CC(=C2)[C]1C=CC2=NN=NC2=C1
122,n1ccc(cc1)c1ccncc1
123,[O-]C(=O)C12CC3(CC(C2)(CC(C1)(C3)C(=O)[O-])C(=O)[O-])C(=O)[O-]
124,[O-]C(=O)C12CC3(CC(C2)(CC(C1)(C3)C(=O)[O-])C(=O)[O-])C(=O)[O-]
125,N#C[N]C#N
126,N1=NN=C([N]1)c1nccnc1C1=NN=N[N]1
127,[O-]C(=O)c1ccncc1
128,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])C
129,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
130,OC1C(O)CC(CC1O)(O)C(=O)[O-]
131,[O-]C(=O)C1CCN(CC1)CP(=O)([O])[O]
132,[O-]C(=O)C1CCN(CC1)CP(=O)([O])[O]
133,[O-]C(=O)c1cncc(c1)C(=O)[O-]
134,[O-]C(=O)c1cc2[nH]cnc2cc1C(=O)[O-]
135,N#CC(C(c1ccc(cc1)[C](C#N)C#N)(C#N)C#N)(c1ccc(cc1)[C](C#N)C#N)C#N
136,n1ccc(cc1)C1=NN=C([N]1)c1ccccn1
137,n1ccc(cc1)C1=NN=C([N]1)c1ccccn1
138,n1ccc(cc1)C1=NN=C([N]1)c1ccccn1
139,[O-]C(=O)c1nccnc1C(=O)[O-]
140,n1ccc(cc1)C1=N[N]C(=N[N]1)c1ccncc1
141,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
142,[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-]
143,[O-]C(=O)C1=[C]C(=C([C]=C1O)C(=O)[O-])O
144,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
145,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
146,[O]P(=O)([C]N([C]P(=O)([O])[O])[C][C][C][C][C]=[C]N([C]P(=O)([O])[O])[C]P(=O)([O])[O])[O]
147,n1ccc(cc1)c1nnc(o1)c1ccncc1
148,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
149,[O-]C(=O)C1=CC(=O)C(=CC1=O)C(=O)[O-]
150,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
151,[O-]C(=O)[C]1[CH]C(=O)[C]([CH]C1=O)C(=O)[O-]
152,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]
153,[O-]C(=O)[C]1[CH]C(=O)[C]([CH]C1=O)C(=O)[O-]
154,[O-]C(=O)C1=CC(=O)C(=CC1=O)C(=O)[O-]
155,[O-]C(=O)c1ccncc1
156,[CH]1C=NN=N1
157,[CH]1C=NN=N1
158,O(CCC1=NN=N[N]1)CCC1=N[N]N=N1
159,O(CCC1=NN=N[N]1)CCC1=NN=N[N]1
160,O(CCC1=NN=N[N]1)CCC1=N[N]N=N1
161,O(CCC1=NN=N[N]1)CCC1=NN=N[N]1
162,[O-]C(=O)c1cc2c(c(c1)S([O])([O])[O])cc(cc2S([O])([O])[O])C(=O)[O-]
163,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
164,n1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2
165,n1ccc(cc1)C1=C2C=CC3=[N]2[Cu]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccncc2)cc1)c1ccncc1)c1ccncc1
166,
167,[O]P(=O)(C[N]CP(=O)([O])[O])[O]
168,[O-]C(=O)c1cc(cc(c1)N(=O)=O)C(=O)[O-]
169,CC1=N[CH]C=N1
170,[O-]C(=O)CCC(P(=O)([O])O)(C(=O)O)CC(=O)O.[O-]C(=O)CCC(P(=O)(O)[O])(C(=O)O)CC(=O)O
171,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
172,[O-]C(=O)C1CCC(CC1)C(=O)[O-]
173,[O-]C(=O)c1cccc(c1)C(=O)[O-]
