ID,ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
178,0.035714286,60,144,2.06,3.25,32,9
179,0.027027027,59,141,2.47,3.22,34,11
180,0.037037037,27,58.93,1.52,4.27,6.8,64
181,0.032258065,29,63.55,1.45,4.48,6.1,119
182,0.043478261,25,54.94,1.61,3.47,8.6,-50
183,0.043478261,25,54.94,1.61,3.47,8.6,-50
184,0.058823529,25,54.94,1.61,3.47,8.6,-50
185,0.095238095,27,58.93,1.52,4.27,6.8,64
186,0.046511628,66,162.5,2.28,3.51,25,1
187,0.125,48,112.4,1.61,3.8,6,-70
188,0.125,48,112.4,1.61,3.8,6,-70
189,0.085714286,27,58.93,1.52,4.27,6.8,64
190,0.022727273,29,63.55,1.45,4.48,6.1,119
191,0.085714286,27,58.93,1.52,4.27,6.8,64
192,0.032258065,27,58.93,1.52,4.27,6.8,64
193,0.111111111,27,58.93,1.52,4.27,6.8,64
194,0.071428571,59,141,2.47,3.22,34,11
195,0.071428571,60,144,2.06,3.25,32,9
196,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0
198,0.019607843,30,65.58,1.42,3.69,7.08,-60
199,0.043478261,27,58.93,1.52,4.27,6.8,64
200,0.052631579,31,69.72,1.36,3.21,8.12,29
201,0.04,66,162.5,2.28,3.51,25,1
202,0.04,67,165,2.26,3.55,23,33
203,0.04,68,167,2.26,3.58,23,30
204,0.04,69,169,2.22,3.61,22,99
205,0.105263158,25,54.94,1.61,3.47,8.6,-50
206,0.05,29,63.55,1.45,4.48,6.1,119
207,0.054545455,29,63.55,1.45,4.48,6.1,119
208,0.043859649,3,6.941,1.67,3.01,24.3,60
209,0.027027027,48,112.4,1.61,3.8,6,-70
210,0.058823529,29,63.55,1.45,4.48,6.1,119
211,0.042553191,66,162.5,2.28,3.51,25,1
212,0.033333333,57,139,2.26,3.02,37,54
213,0.034482759,60,144,2.06,3.25,32,9
214,0.125,29,63.55,1.45,4.48,6.1,119
215,0.133333333,29,63.55,1.45,4.48,6.1,119
