Order,PLD,LCD,Void,Surface[m^2/g],Pore_Volume[cm^3/g],Density[cm^3/g]
123,3.40502,4.56309,0.166821,0,0.12008827,0.719863034
124,3.42507,5.33023,0.19105,0,0.13688137,0.716468833
125,5.3983,7.19603,0.34737,1067.534778,0.48102725,1.384769118
126,6.12107,6.19538,0.17237,267.163356,0.12439188,0.721656198
127,5.29584,5.76612,0.0437252,0,0.03955342,0.904591011
128,5.39457,7.26276,0.228743,398.46941,0.25702987,1.12366222
129,4.92881,6.30243,0.114072,35.168461,0.133075,1.166587766
130,3.55595,6.03525,0.160826,7.676984,0.14590809,0.90724194
131,3.57977,4.47419,0.100289,0,0.05959203,0.594203024
132,3.62097,4.51881,0.10476,0,0.06396866,0.610621012
133,4.70691,5.50399,0.268774,19.730659,0.31575879,1.174811532
134,4.34053,5.25312,0.066654,0,0.04881085,0.732301838
135,3.71458,5.72951,0.0181382,0,0.01907772,1.051798028
136,5.22176,6.82532,0.0645467,32.02959,0.05095387,0.789410951
137,5.55881,7.01349,0.0702323,47.683134,0.05799429,0.825749607
138,8.55611,11.54104,0.209071,753.930497,0.29795292,1.425127933
139,5.51512,5.84364,0.0832945,4.379386,0.05793251,0.695514259
140,5.58442,6.18949,0.196943,416.436903,0.14799969,0.751484896
141,5.06321,5.84885,0.0547584,0,0.02688635,0.49099963
142,4.72033,6.527,0.241711,130.563636,0.21675252,0.896742463
143,4.73547,6.61623,0.236519,146.68005,0.21571937,0.912059365
144,3.95582,6.49663,0.168798,224.362402,0.19603206,1.161341127
145,4.65956,6.314,0.12562,21.854148,0.1420894,1.131104954
146,5.3696,5.90539,0.149306,12.87435,0.1083422,0.72563865
147,5.10929,6.97816,0.115199,98.343357,0.12732796,1.105287029
148,4.20056,6.56684,0.049685,6.188987,0.04012097,0.807506625
149,11.00756,11.63584,0.353812,881.308416,0.31487213,0.889941921
150,11.09001,11.64384,0.354238,885.920702,0.31616103,0.892510215
151,10.54937,11.29577,0.345363,869.634361,0.301139,0.871949234
152,10.81134,11.49971,0.353722,871.603746,0.30899739,0.873559999
153,10.91266,11.59971,0.354301,870.988532,0.30965298,0.873982797
154,10.97955,11.55931,0.352724,875.116486,0.30868,0.875131833
155,3.78032,6.32235,0.0638998,0,0.05269097,0.824587394
156,4.20662,5.45884,0.0125268,0,0.00835486,0.666958741
157,4.16414,5.06574,0.0239538,0,0.01603421,0.66938064
158,4.5464,4.72601,0.0840261,0,0.05570389,0.662935605
159,4.59753,4.78717,0.0871582,0,0.05826656,0.668515001
160,4.66473,4.86496,0.0900485,0,0.06109425,0.67845941
161,4.64931,4.83661,0.0891237,0,0.05992658,0.672397851
162,5.31318,6.71782,0.261351,354.68611,0.15754012,0.602791343
163,4.28263,4.68664,0.0732814,0,0.04961193,0.677005765
164,5.08846,7.15801,0.0602474,15.513871,0.05215311,0.865649168
165,3.36609,4.14617,0.0244337,0,0.01396939,0.571726462
166,4.16928,6.83209,0.179177,17.9377,0.18453603,1.029909166
167,4.97884,5.95169,0.128951,0,0.05378472,0.41709422
168,4.64792,5.25613,0.217028,85.212468,0.17878853,0.823803968
169,4.16303,4.93031,0.0268733,0,0.01401213,0.521414472
170,3.78335,4.47295,0.137335,34.267015,0.09403655,0.684723833
171,5.8428,6.96613,0.235809,248.669942,0.18668834,0.791693019
172,3.35896,4.99401,0.0243234,0,0.01782859,0.73298086
173,5.85474,7.1866,0.0814998,97.443116,0.05176262,0.635125714
174,6.63341,8.71527,0.410232,1948.937354,0.66886904,1.63046529
175,3.73134,5.37641,0.283269,4.698768,0.17383617,0.613678748
176,4.12189,8.21931,0.107224,131.638864,0.08403232,0.783708171
177,3.83084,6.12198,0.0723356,19.307725,0.07239112,1.000767485
178,4.71082,5.80496,0.143905,4.270818,0.1057542,0.734888984
179,4.1075,4.78644,0.0764765,0,0.05355946,0.700338767
180,3.69535,5.1425,0.02678,0,0.02220265,0.829075648
181,8.23385,9.0941,0.328038,839.816433,0.31352734,0.955765306
182,3.74333,5.25312,0.1485,25.788264,0.15160777,1.020927722
183,3.62617,5.87095,0.159328,137.244093,0.16230481,1.018683526
184,4.89241,5.6558,0.110953,0.351263,0.09462375,0.852827351
185,5.52726,8.29281,0.481021,2511.692907,0.63214399,1.314171299
186,3.61801,4.90244,0.0681314,0,0.03924972,0.576088522
187,4.07242,5.62455,0.33947,17.909925,0.23801563,0.701138909
188,4.02121,5.46045,0.322579,10.769282,0.22354395,0.692989775
189,5.20945,6.68277,0.131702,73.818831,0.09236085,0.701286648
190,3.63233,5.16283,0.0596313,0,0.05624133,0.943151239
191,4.54599,6.98662,0.128552,137.01855,0.09105962,0.708348558
192,10.36233,11.18831,0.343764,1625.226844,0.52894836,1.538696213
193,10.84111,11.60663,0.356783,852.373015,0.30229647,0.847283846
194,3.51141,4.39355,0.0446878,0,0.0236649,0.529560619
195,3.47257,4.38758,0.0403178,0,0.02096795,0.520066701
196,9.3327,9.43954,0.280929,1501.523899,0.51557061,1.835234571
197,23.68287,23.90591,0.571398,1500.885382,0.98398068,1.722058312
198,5.30449,5.92481,0.141238,5.216551,0.15326166,1.08513052
199,9.33161,10.05086,0.293827,1321.07458,0.41031964,1.396466774
200,5.15189,5.66105,0.137432,55.912434,0.11205088,0.815318712
201,5.4605,6.88627,0.301489,583.24583,0.24659419,0.817921011
202,5.45331,6.87627,0.302172,572.952089,0.24410077,0.8078206
203,5.36083,6.85047,0.296753,553.110259,0.2380493,0.802179944
204,5.38008,6.83761,0.295229,544.018734,0.23438845,0.793920816
205,3.55837,4.83388,0.106766,0,0.0739544,0.692677485
206,3.73173,6.12743,0.12221,89.569426,0.10494908,0.858760179
207,6.62383,10.04483,0.310199,1041.74438,0.33325787,1.074335727
208,4.22562,5.5757,0.061297,0,0.07299238,1.19079857
209,5.42279,7.78728,0.238275,428.19313,0.26713533,1.121121943
210,3.79593,5.06674,0.00204819,0,0.00122862,0.59985403
211,3.88005,4.56697,0.097381,0,0.05874428,0.603241711
212,3.95449,5.07248,0.0525147,0,0.02610828,0.497161461
213,4.53312,5.16576,0.157078,0,0.09815704,0.624893618
214,5.89297,8.64942,0.261641,330.921597,0.15833969,0.605179188
215,5.60745,9.50649,0.250781,301.703031,0.15324535,0.611072406
216,6.22371,6.9088,0.155679,340.185557,0.12647983,0.812439906
217,3.92313,5.52406,0.0340624,0,0.02871943,0.843141722
218,4.86798,5.52101,0.106119,32.849776,0.10357228,0.976001277
219,4.17283,5.44403,0.0918574,0,0.09171469,0.998446387
220,11.06612,11.68284,0.35691,849.558478,0.30365812,0.850797449
221,4.69222,6.40381,0.142536,21.605755,0.13430539,0.942255936
222,4.22148,7.07301,0.109436,93.648431,0.11612405,1.061113757
223,3.45419,4.65753,0.0431878,0,0.03723143,0.862082199
224,3.44043,5.16275,0.0428453,0,0.0369071,0.861403759
225,3.53903,6.56769,0.116861,1.6828,0.12604625,1.078599779
226,3.39884,5.1563,0.0229773,0,0.01567598,0.682237814
227,4.82783,11.31824,0.279023,911.733937,0.29280634,1.049398594
228,5.11367,11.14531,0.287472,888.097258,0.29082221,1.011654054
229,4.10133,7.24414,0.146777,160.215565,0.14591795,0.994147261
230,3.96206,7.25413,0.142643,136.920363,0.1192127,0.835741671
231,4.00751,7.21467,0.142868,113.259654,0.11960003,0.837136596
232,4.25645,7.52706,0.160604,229.45935,0.14605778,0.909428041
233,4.16375,7.67214,0.152249,214.907836,0.13414154,0.881066814
234,4.18447,7.42407,0.153368,193.64854,0.13512988,0.881082638
235,4.08673,7.37149,0.146856,166.899481,0.12579671,0.856599029
236,4.10221,7.41567,0.144989,170.188127,0.12326952,0.850199091
237,4.46775,7.34566,0.144236,155.090756,0.1217861,0.844353029
238,3.48192,5.68113,0.0544872,0,0.02894877,0.531294964
239,4.30554,4.94744,0.0402714,0,0.02868017,0.712172123
240,4.41894,4.97243,0.0429284,0,0.03058359,0.712432584
241,4.32234,5.76423,0.0368224,0,0.02755121,0.748218618
242,4.33507,5.77401,0.0367126,0,0.02713836,0.739211127
243,4.08405,6.5445,0.0971091,29.992642,0.09946502,1.024260528
244,4.93398,6.73587,0.299836,488.547525,0.27827394,0.92808715
245,7.08936,7.5599,0.247517,595.75877,0.28039429,1.132828425
246,7.0319,7.5043,0.246839,594.183747,0.27993582,1.134082629
247,6.98279,7.30314,0.244535,566.795046,0.27477589,1.123666927
248,6.85261,7.3581,0.246996,579.080373,0.28188003,1.141233196
249,5.0097,5.52177,0.0936379,6.134865,0.07356703,0.78565445
250,4.43313,6.03301,0.0929004,60.658633,0.08295562,0.892952241
