Order,I2-heat,H2O-heat,N2-heat,O2-heat,I2-henry,N2-henry,O2-henry,H2O-henry
284,-7350.90465,-1222.35741,-1078.62262,-1145.11819,0.0033906,7.31E-07,8.39E-07,4.76E-07
285,-7303.75053,-1213.3426,-1076.44612,-1143.43046,0.00348304,7.29E-07,8.39E-07,4.76E-07
286,-7369.9491,-1202.68988,-1075.8941,-1144.89825,0.0034972,7.29E-07,8.38E-07,4.76E-07
287,-7337.32277,-1198.36227,-1076.26991,-1141.39468,0.00351164,7.29E-07,8.39E-07,4.76E-07
288,-7404.15827,-1198.03769,-1074.92814,-1145.23708,0.003696,7.31E-07,8.39E-07,4.77E-07
289,-7317.76408,-1213.76835,-1075.13697,-1142.88309,0.00352992,7.29E-07,8.37E-07,4.76E-07
290,-7376.55665,-1212.21964,-1075.52421,-1142.76249,0.003832,7.30E-07,8.39E-07,4.78E-07
291,-7338.13275,-1202.93838,-1075.26364,-1141.63578,0.00364226,7.30E-07,8.38E-07,4.76E-07
292,-7345.83824,-1197.23397,-1074.77539,-1139.5707,0.003528,7.28E-07,8.37E-07,4.75E-07
293,-7345.5539,-1210.73868,-1074.8109,-1143.74009,0.00348515,7.28E-07,8.38E-07,4.76E-07
294,-7353.04425,-1213.42899,-1077.45459,-1143.32162,0.00363405,7.31E-07,8.40E-07,4.78E-07
295,-7333.68217,-1217.65285,-1077.92815,-1146.01624,0.00371942,7.30E-07,8.40E-07,4.78E-07
296,-7315.21475,-1226.1022,-1078.57049,-1144.30382,0.0033343,7.31E-07,8.41E-07,4.77E-07
297,-7333.9762,-1216.06013,-1079.04117,-1146.79697,0.00332692,7.29E-07,8.40E-07,4.77E-07
298,-7328.00589,-1227.97303,-1077.81082,-1147.26551,0.00337268,7.30E-07,8.41E-07,4.77E-07
299,-7295.1217,-1214.49246,-1079.29768,-1144.89542,0.00319257,7.30E-07,8.41E-07,4.77E-07
300,-7301.1668,-1237.15312,-1078.95438,-1146.46364,0.00328818,7.33E-07,8.43E-07,4.77E-07
301,-7295.70108,-1249.58538,-1079.92358,-1146.78244,0.00325318,7.33E-07,8.43E-07,4.78E-07
302,-7302.71122,-1253.82243,-1077.44699,-1146.96039,0.00316682,7.34E-07,8.44E-07,4.78E-07
303,-7295.20457,-1243.89903,-1080.90462,-1148.66992,0.00340788,7.35E-07,8.43E-07,4.79E-07
304,-7323.94246,-1249.34405,-1080.3379,-1148.75739,0.00314633,7.33E-07,8.44E-07,4.78E-07
305,-7322.17616,-1265.03205,-1079.71687,-1146.36753,0.00318158,7.35E-07,8.44E-07,4.78E-07
306,-7282.85781,-1258.88531,-1082.04202,-1148.99833,0.00318959,7.34E-07,8.43E-07,4.78E-07
307,-7223.68428,-1261.97672,-1081.99507,-1151.70743,0.00286882,7.32E-07,8.44E-07,4.78E-07
308,-7269.3241,-1268.62037,-1084.45408,-1152.87598,0.0032524,7.37E-07,8.46E-07,4.80E-07
309,-7272.3478,-1283.15725,-1085.98398,-1155.43039,0.0032376,7.39E-07,8.50E-07,4.81E-07
310,-7259.83955,-1296.55055,-1085.32521,-1153.4132,0.00309193,7.39E-07,8.48E-07,4.80E-07
311,-7180.03763,-1299.9646,-1082.98777,-1154.1164,0.00287669,7.39E-07,8.50E-07,4.80E-07
312,-7328.72737,-1331.50758,-1084.59139,-1152.6246,0.00361492,7.42E-07,8.50E-07,4.82E-07
313,-7235.5099,-1308.97597,-1080.23077,-1147.47325,0.00303109,7.34E-07,8.42E-07,4.78E-07
314,-7219.48098,-1352.6898,-1086.34459,-1154.7684,0.00289291,7.43E-07,8.53E-07,4.83E-07
315,-7197.88173,-1318.51671,-1080.77331,-1150.08757,0.00280712,7.36E-07,8.46E-07,4.79E-07
316,-7464.30213,-1102.57146,-1068.3733,-1131.20524,0.00416323,7.10E-07,8.10E-07,4.64E-07
317,-6950.60743,-6333.23922,-2075.98984,-1971.19322,0.00219461,8.09E-07,9.40E-07,3.56E-07
318,-2931.25529,-4489.17464,-1376.06944,-1366.50683,2.50E-07,2.70E-07,3.48E-07,1.96E-07
319,-6316.18973,-5273.93978,-1531.20386,-1461.82183,0.00424345,6.39E-07,7.55E-07,3.60E-07
320,-6223.07812,-1682.40618,-1325.59064,-1345.57658,0.00905419,4.20E-07,4.90E-07,2.65E-07
321,-4889.60376,-5597.41845,-926.5407,-921.83575,0.000101982,2.39E-07,2.85E-07,1.96E-07
322,-6084.04394,-6209.36674,-1209.59193,-1155.3923,0.00850396,4.13E-07,4.47E-07,2.55E-07
323,-4958.64875,-4616.58181,-1980.4857,-1900.42898,1.82E-05,8.64E-07,1.14E-06,4.46E-07
324,-4307.87541,-728.16537,-903.3303,-902.41761,5.00E-05,3.77E-07,4.31E-07,2.81E-07
325,-7687.73255,-4613.26091,-1621.67967,-1542.18479,0.074173,5.28E-07,6.03E-07,2.73E-07
326,-6144.40271,-2193.15425,-1571.69012,-1542.63118,0.00205607,6.44E-07,8.00E-07,3.75E-07
327,3724.61652,-1061.39924,-945.03148,-1043.0806,1.84E-14,9.37E-08,1.76E-07,1.45E-07
328,-5969.31052,-4480.95993,-1737.32695,-1773.08716,4.41E-05,2.12E-07,2.99E-07,1.35E-07
329,-6100.62372,-9657.65205,-1298.73917,-1267.54934,0.013987,5.26E-07,5.70E-07,2.84E-07
330,-6341.63982,-1252.23288,-1314.2962,-1319.06623,0.0248776,5.51E-07,5.96E-07,2.86E-07
331,-6354.02367,-1274.09234,-1317.92674,-1322.23867,0.0256255,5.54E-07,5.97E-07,2.86E-07
332,-5814.589,-9933.6933,-1248.59135,-1211.42797,0.00815451,5.01E-07,5.41E-07,2.77E-07
333,-6204.65123,-11177.00684,-1366.52351,-1290.43943,0.0192953,5.23E-07,5.63E-07,2.77E-07
