Order,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1
244,8.049015221,14.08577664,10.06126903,0,8.049015221,0,0,0,2.012253805,0,0,0,0,0,0,0,0,0
245,7.153290792,15.49879672,14.30658158,0,2.384430264,0,0,0,0,0,0,0,0,0,0,0,0,0
246,7.145379826,15.48165629,14.29075965,0,2.381793275,0,0,0,0,0,0,0,0,0,0,0,0,0
247,7.211613112,15.62516174,14.42322622,0,2.403871037,0,0,0,0,0,0,0,0,0,0,0,0,0
248,7.100609384,15.38465366,14.20121877,0,2.366869795,0,0,0,0,0,0,0,0,0,0,0,0,0
249,13.36330405,26.72660811,0,0,13.36330405,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20.96522281,20.96522281,13.97681521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,16.73178876,4.18294719,0,0,12.54884157,0,4.18294719,0,8.36589438,0,0,0,0,0,0,0,0,0
252,18.2273212,27.3409818,22.7841515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,10.84845677,25.3130658,3.616152258,3.616152258,10.84845677,0,0,0,0,0,0,0,0,0,0,0,0,0
254,25.92614267,22.46932365,13.82727609,0,3.456819023,0,0,0,1.728409511,0,0,0,0,0,0,0,0,0
255,22.02954809,22.02954809,14.6863654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,22.07423542,33.11135313,2.759279427,0,6.898198568,0,0,0,0,0,0,0,0,0,0,0,0,0
257,22.10287223,28.41797858,3.157553176,0,6.315106352,0,0,3.157553176,0,0,0,0,0,0,0,0,0,0
258,8.387395116,19.5705886,2.795798372,5.591596744,5.591596744,0,0,0,0,0,0,0,0,0,0,0,0,0
259,12.22441757,25.56014583,1.111310688,0,13.33572826,0,0,0,0,0,0,0,0,0,0,0,0,0
260,20.15428863,20.15428863,8.957461615,0,6.718096211,0,0,0,2.239365404,0,0,0,0,0,0,0,0,0
261,24.38312644,27.43101724,3.047890804,0,9.143672413,0,0,0,3.047890804,0,0,0,0,0,0,0,0,0
262,31.28031195,0,0,0,0,0,0,0,11.73011698,0,0,0,3.910038994,7.820077988,7.820077988,0,0,0
263,17.98115191,17.98115191,3.596230382,0,8.990575954,0,0,3.596230382,0,0,0,0,0,0,0,0,0,0
264,17.70425055,17.70425055,3.54085011,0,8.852125274,0,0,3.54085011,0,0,0,0,0,0,0,0,0,0
265,13.48012555,25.8369073,6.740062774,1.685015694,2.808359489,0,0,0,0,0,0,0,0,0,0,0,4.493375183,0
266,13.21538721,24.54286196,1.887912458,0,7.551649834,0,0,0,0,0,0,0,0,0,0,0,0,0
267,10.3111464,18.56006352,14.43560496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,30.28933653,6.730963674,3.365481837,4.487309116,2.243654558,0,0,0,16.82740919,0,0,0,3.365481837,0,0,0,0,0
269,30.1620913,6.702686956,3.351343478,4.468457971,2.234228985,0,0,0,16.75671739,0,0,0,3.351343478,0,0,0,0,0
270,19.65964266,29.48946398,2.457455332,0,4.914910664,0,0,0,0,0,0,0,0,0,0,0,0,0
271,9.974662818,14.57835335,0.767281755,0,3.836408776,0,0,0.767281755,0,0,0,0,0,0,0,0,0,0
272,12.59076604,22.03384057,3.147691511,1.573845755,11.01692029,3.147691511,0,0,0,0,0,0,0,0,0,0,0,0
273,21.43150773,31.82254179,1.298879257,0,12.98879257,0,0,0.649439628,1.298879257,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25912368,8.25912368,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,8.227590524,8.227590524,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,8.285255597,8.285255597,0,0,0
277,11.18880291,22.37760581,0,0,13.98600363,0,0,0,0,0,0,0,0,0,0,0,0,0
278,48.25649264,4.825649264,0,0,9.651298528,0,0,0,24.12824632,0,0,0,1.206412316,0,0,0,0,0
279,5.300521488,15.90156446,0,0,10.60104298,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5.298894746,15.89668424,0,0,10.59778949,0,0,0,0,0,0,0,0,0,0,0,0,0
281,5.297867717,15.89360315,0,0,10.59573543,0,0,0,0,0,0,0,0,0,0,0,0,0
282,5.296413302,15.88923991,0,0,10.5928266,0,0,0,0,0,0,0,0,0,0,0,0,0
283,5.295215718,15.88564715,0,0,10.59043144,0,0,0,0,0,0,0,0,0,0,0,0,0
284,5.294617051,15.88385115,0,0,10.5892341,0,0,0,0,0,0,0,0,0,0,0,0,0
285,5.292309362,15.87692809,0,0,10.58461872,0,0,0,0,0,0,0,0,0,0,0,0,0
286,5.29188185,15.87564555,0,0,10.5837637,0,0,0,0,0,0,0,0,0,0,0,0,0
287,5.291027661,15.87308298,0,0,10.58205532,0,0,0,0,0,0,0,0,0,0,0,0,0
288,5.290087995,15.87026399,0,0,10.58017599,0,0,0,0,0,0,0,0,0,0,0,0,0
289,5.287867872,15.86360362,0,0,10.57573574,0,0,0,0,0,0,0,0,0,0,0,0,0
290,5.286929283,15.86078785,0,0,10.57385857,0,0,0,0,0,0,0,0,0,0,0,0,0
291,5.288124041,15.86437212,0,0,10.57624808,0,0,0,0,0,0,0,0,0,0,0,0,0
292,5.287867872,15.86360362,0,0,10.57573574,0,0,0,0,0,0,0,0,0,0,0,0,0
293,5.287782589,15.86334777,0,0,10.57556518,0,0,0,0,0,0,0,0,0,0,0,0,0
294,5.290941982,15.87282594,0,0,10.58188396,0,0,0,0,0,0,0,0,0,0,0,0,0
295,5.292565817,15.87769745,0,0,10.58513163,0,0,0,0,0,0,0,0,0,0,0,0,0
296,5.293334954,15.88000486,0,0,10.58666991,0,0,0,0,0,0,0,0,0,0,0,0,0
297,5.294959091,15.88487727,0,0,10.58991818,0,0,0,0,0,0,0,0,0,0,0,0,0
298,5.293933079,15.88179924,0,0,10.58786616,0,0,0,0,0,0,0,0,0,0,0,0,0
299,5.295044858,15.88513457,0,0,10.59008972,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5.296584222,15.88975266,0,0,10.59316844,0,0,0,0,0,0,0,0,0,0,0,0,0
301,5.298637882,15.89591364,0,0,10.59727576,0,0,0,0,0,0,0,0,0,0,0,0,0
302,5.299322664,15.89796799,0,0,10.59864533,0,0,0,0,0,0,0,0,0,0,0,0,0
303,5.301035147,15.90310544,0,0,10.60207029,0,0,0,0,0,0,0,0,0,0,0,0,0
304,5.30137807,15.90413421,0,0,10.60275614,0,0,0,0,0,0,0,0,0,0,0,0,0
305,5.293933079,15.88179924,0,0,10.58786616,0,0,0,0,0,0,0,0,0,0,0,0,0
306,5.306605727,15.91981718,0,0,10.61321145,0,0,0,0,0,0,0,0,0,0,0,0,0
307,5.307034476,15.92110343,0,0,10.61406895,0,0,0,0,0,0,0,0,0,0,0,0,0
308,5.312012525,15.93603757,0,0,10.62402505,0,0,0,0,0,0,0,0,0,0,0,0,0
309,5.309866212,15.92959864,0,0,10.61973242,0,0,0,0,0,0,0,0,0,0,0,0,0
310,5.31381665,15.94144995,0,0,10.6276333,0,0,0,0,0,0,0,0,0,0,0,0,0
311,5.312012525,15.93603757,0,0,10.62402505,0,0,0,0,0,0,0,0,0,0,0,0,0
312,5.3086649,15.9259947,0,0,10.6173298,0,0,0,0,0,0,0,0,0,0,0,0,0
313,5.309437159,15.92831148,0,0,10.61887432,0,0,0,0,0,0,0,0,0,0,0,0,0
314,5.310724458,15.93217337,0,0,10.62144892,0,0,0,0,0,0,0,0,0,0,0,0,0
315,5.309007801,15.9270234,0,0,10.6180156,0,0,0,0,0,0,0,0,0,0,0,0,0
316,5.284454979,15.85336494,0,0,10.56890996,0,0,0,0,0,0,0,0,0,0,0,0,0
317,47.20829678,4.720829678,0,0,9.441659355,0,0,2.360414839,21.24373355,0,0,0,0,1.180207419,0,0,0,0
318,19.88579831,0,0,0,0,0,0,0,5.965739494,0,0,0,3.977159663,7.954319325,9.942899156,0,0,0
319,8.639601723,19.43910388,0,0,15.11930301,0,0,0,0,0,0,0,0,0,0,0,0,0
320,25.92468098,21.60390081,12.96234049,0,0,0,0,0,4.320780163,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,33.46730072,4.462306762,0,8.924613524,0,0,0,0,15.61807367,0,0,0,4.462306762,0,0,0,0,0
323,16.46205935,28.80860387,4.115514839,2.057757419,8.231029677,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05274408,11.05274408,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,12.32169091,16.942325,3.080422727,1.540211364,0,0,0,0,0,0,0,0,0,4.620634091,6.160845454,0,0,3.080422727
327,0,0,0,0,0,0,0,0,0,0,0,0,0,13.02499784,13.02499784,0,0,0
328,20.72239527,33.15583243,8.288958109,4.144479054,4.144479054,0,0,0,0,0,0,0,0,4.144479054,0,0,0,0
329,7.706967373,23.12090212,0,15.41393475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,8.070251286,24.21075386,0,10.76033505,5.380167524,0,0,0,0,0,0,0,0,0,0,0,0,0
331,8.077560556,24.23268167,0,10.77008074,5.385040371,0,0,0,0,0,0,0,0,0,0,0,0,0
332,7.473353937,22.42006181,0,14.94670787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,7.986040909,23.95812273,0,13.31006818,2.662013636,0,0,0,0,0,0,0,0,0,0,0,0,0
334,8.023131518,24.06939455,0,13.37188586,2.674377173,0,0,0,0,0,0,0,0,0,0,0,0,0
335,10.03595735,19.40285089,0,0,14.71940412,0,0,0,1.338127647,0,0,0,0,0,0,0,0,0
336,22.78362095,20.88498587,1.898635079,0,3.797270159,0,0,5.695905238,1.898635079,0,0,0,0,0,0,0,0,0
337,31.4783651,6.295673019,0,0,15.73918255,0,0,0,18.88701906,0,3.14783651,0,0,0,0,0,0,0
338,34.36131309,6.24751147,0,0,12.49502294,3.123755735,0,0,18.74253441,0,0,0,0,0,0,0,0,0
339,18.21647303,27.32470954,4.554118257,0,9.108236514,0,0,0,0,0,0,0,0,0,0,0,0,0
340,14.92481419,22.38722129,3.731203548,0,9.32800887,0,0,0,0,0,1.865601774,0,0,0,0,0,0,0
341,1.852863909,5.558591727,7.411455636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,10.09346837,0,0,0,11.35515191,0,5.046734183,0,5.046734183,0,0,0,0,0,0,0,0,0
343,10.08337281,0,0,0,0,0,5.041686403,0,5.041686403,0,0,0,0,0,0,0,0,0
344,19.47770201,31.65126577,2.434712752,0,9.738851007,0,0,0,0,0,0,0,0,0,0,0,0,0
345,14.33521587,14.33521587,0,0,28.67043173,0,0,0,0,0,0,0,0,0,0,0,0,0
346,14.92228777,14.92228777,0,0,29.84457554,0,0,0,0,0,0,0,0,0,0,0,0,0
347,14.5083813,14.5083813,0,0,29.0167626,0,0,0,0,0,0,0,0,0,0,0,0,0
348,15.32554271,24.26544262,1.277128559,0,5.108514237,0,0,0,0,0,0,0,0,0,0,0,0,0
349,5.569239146,11.13847829,0,0,5.569239146,0.464103262,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8001752,4.8001752,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,4.525110753,4.525110753,0,0,0
354,3.886167461,19.4308373,0,1.94308373,13.60158611,0,0,0,0,0,0,0,0,0,0,0,0,0
355,9.853981989,17.24446848,0,0,4.926990995,0.410582583,0,0,0,0,0,0,0,0,0,0,0,0
356,13.65427196,21.84683513,0,0,13.65427196,0,0,0,0,0,0,0,0,0,0,0,0,0
357,13.06420473,22.00287112,0,0,13.75179445,0,0,0,0,0,0,0,0,0,0,0,0,0
358,13.61540747,21.78465195,0,0,13.61540747,0,0,0,0,0,0,0,0,0,0,0,0,0
359,9.883084744,24.70771186,14.82462712,2.470771186,7.412313558,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7.912993126,15.82598625,0,0,9.891241408,0,0,0,0,0,0,0,1.978248282,0,0,0,0,0
361,11.69805372,23.39610744,0,0,11.69805372,0,0,0,0,0,0,0,0,0,0,0,0,0
362,24.53108751,16.35405834,0,0,8.17702917,0,0,0,8.17702917,0,0,0,0,0,0,0,0,0
363,14.22511628,30.48239204,0,10.16079735,4.064318938,0,0,0,0,0,0,0,0,0,0,0,0,0
364,14.77347519,31.65744683,0,0,14.77347519,0,0,0,0,0,0,0,0,0,0,0,0,0
365,14.33766619,30.7235704,0,10.24119013,4.096476054,0,0,0,0,0,0,0,0,0,0,0,0,0
366,14.37211104,30.79738079,0,10.2657936,4.106317439,0,0,0,0,0,0,0,0,0,0,0,0,0
367,14.51659529,31.10698991,0,10.36899664,4.147598655,0,0,0,0,0,0,0,0,0,0,0,0,0
368,14.58862139,31.26133155,0,12.50453262,2.08408877,0,0,0,0,0,0,0,0,0,0,0,0,0
369,14.71560295,31.5334349,0,12.61337396,2.102228993,0,0,0,0,0,0,0,0,0,0,0,0,0
370,14.7931885,31.69968964,0,12.67987586,2.113312643,0,0,0,0,0,0,0,0,0,0,0,0,0
371,14.79943798,31.71308138,0,12.68523255,2.114205426,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,24.94845902,19.95876722,4.989691804,0,12.47422951,0,0,2.494845902,4.989691804,0,0,0,0,0,0,0,0,0
375,24.77698196,19.82158557,4.955396392,0,12.38849098,0,0,2.477698196,4.955396392,0,0,0,0,0,0,0,0,0
376,17.86208214,21.43449857,0,1.786208214,12.5034575,0,0,0,3.572416428,0,0,0,0,0,0,0,0,0
377,10.29132191,23.15547429,0,0,18.00981333,0,0,0,0,0,0,0,0,0,0,0,0,0
378,3.041864905,18.25118943,0,12.16745962,1.520932453,0,0,0,0,0,0,0,0,0,0,0,0,0
379,7.377863017,17.70687124,0,7.377863017,1.475572603,0,0,0,0,0,0,0,0,0,0,0,0,0
380,6.076964008,18.23089202,0,9.115446012,1.519241002,0,0,0,0,0,0,0,0,0,0,0,0,0
381,9.039349281,18.07869856,0,7.532791067,1.506558213,0,0,0,0,0,0,0,0,0,0,0,0,0
382,9.376267154,18.75253431,0,9.376267154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,9.067493651,18.1349873,0,9.067493651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,9.103515891,18.20703178,0,9.103515891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,16.0266573,30.04998243,2.003332162,10.01666081,4.006664324,0,0,0,0,0,0,0,0,0,0,0,0,0
386,16.1354954,30.25405387,2.016936924,10.08468462,4.033873849,0,0,0,0,0,0,0,0,0,0,0,0,0
387,15.94428122,29.89552728,1.993035152,9.96517576,3.986070304,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,9.28966762,20.90175214,9.28966762,0,9.28966762,0,0,0,0,0,0,0,0,0,0,0,0,0
390,8.227794114,21.9407843,0,0,13.71299019,0,0,0,0,0,0,0,0,0,0,0,0,0
391,12.24904121,26.02921257,1.531130151,0,6.124520605,0,0,0,0,0,0,3.062260303,0,0,0,0,0,0
392,13.68418194,24.32743456,4.56139398,0,6.08185864,0,0,0,0,0,0,0,0,0,1.52046466,0,0,0
393,25.19913058,27.99903397,5.599806795,0,5.599806795,0,0,0,2.799903397,0,0,0,0,0,0,0,0,0
394,26.83977659,29.82197399,5.964394798,0,5.964394798,0,0,0,2.982197399,0,0,0,0,0,0,0,0,0
395,24.2191323,26.910147,5.3820294,0,5.3820294,0,0,0,2.6910147,0,0,0,0,0,0,0,0,0
396,23.90028511,26.71208336,2.811798248,0,8.435394744,0,0,0,4.217697372,0,0,2.108848686,0,0,0,0,0,0
397,13.62201363,27.53080648,0,0,9.176935495,0,0,0,0,0,0,0,0,0,0,0,0,0
398,10.09250043,10.09250043,15.13875065,0,0,0,0,0,0,5.046250216,0,0,0,0,0,0,0,0
399,19.19019221,19.19019221,3.198365369,3.198365369,3.198365369,0,0,3.198365369,1.599182684,0,0,0,3.198365369,0,0,0,0,0
400,27.52720677,5.161351269,0,3.440900846,17.20450423,0,0,1.720450423,13.76360338,0,0,0,0,0,0,0,0,0
401,30.06760097,10.02253366,0,13.36337821,6.681689104,0,0,0,15.03380048,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,18.05948825,20.22662684,0,0,8.668554362,0,0,0,3.611897651,0,0,0,0,0,0,0,0,0
404,9.945073984,22.37641647,0,1.243134248,13.67447673,2.486268496,0,0,0,0,0,0,0,0,0,0,0,0
405,10.91628001,19.64930402,0,4.366512004,13.09953601,0,0,0,0,0,0,0,0,0,0,0,0,0
406,7.536177039,11.30426556,0,0,0,0,0,3.768088519,0,0,0,0,0,7.536177039,7.536177039,0,0,0
407,7.5911878,11.3867817,0,0,0,0,0,3.7955939,0,0,0,0,0,7.5911878,7.5911878,0,0,0
408,7.571234082,11.35685112,0,0,0,0,0,3.785617041,0,0,0,0,0,7.571234082,7.571234082,0,0,0
409,44.84057535,9.964572301,0,9.964572301,9.964572301,0,0,0,19.9291446,0,0,0,4.982286151,0,0,0,0,0
410,45.45628539,10.10139675,0,10.10139675,10.10139675,0,0,0,20.2027935,0,0,0,5.050698376,0,0,0,0,0
411,4.057847081,19.47766599,0,9.738832996,6.49255533,0,0,0,0,0,0,0,0,0,0.811569416,0,0,0
412,15.69192366,24.65873717,0,0,11.2085169,0,0,0,2.241703379,0,0,0,0,0,0,0,0,0
413,18.90389461,25.20519281,6.301298203,1.050216367,3.150649101,0.350072122,0,0,2.100432734,0,0,0,0,0,0,0,0,0
414,18.01479588,24.94356352,4.157260587,0,5.543014116,0,0,0,0,0,0,0,0,0,0,0,0,0
415,17.93126494,24.8279053,4.137984217,0,5.51731229,0,0,0,0,0,0,0,0,0,0,0,0,0
416,19.30275415,26.72689037,4.454481728,1.484827243,4.454481728,0,0,0,0,0,0,0,0,0,0,0,0,0
417,19.10231307,26.44935656,4.408226094,0,5.877634792,0,0,0,0,0,0,0,0,0,0,0,0,0
418,29.44747613,9.815825375,0,13.08776717,6.543883584,0,0,0,14.72373806,0,0,0,0,0,0,0,0,0
419,12.71932657,19.07898985,6.359663284,19.07898985,0,0,0,0,3.179831642,0,0,0,0,0,0,0,0,0
420,12.57298001,18.85947001,6.286490003,18.85947001,0,0,0,0,3.143245001,0,0,0,0,0,0,0,0,0
421,12.06701407,18.1005211,6.033507034,18.1005211,0,0,0,0,3.016753517,0,0,0,0,0,0,0,0,0
422,26.31625886,22.26760365,5.060819012,4.04865521,6.072982815,0,0,0,6.072982815,0,1.012163802,0,0,0,0,0,0,0
423,9.914768661,15.86362986,0,0.991476866,8.923291795,0,0,0,2.478692165,0,0,0,0,0,0,0,0,0
424,18.04005003,27.06007504,4.510012506,0,9.020025013,0,0,0,0,2.255006253,0,0,2.255006253,2.255006253,0,0,0,2.255006253
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,11.28174453,15.79444234,2.256348906,7.897221171,10.15357008,0,0,0,0,0,2.256348906,0,0,0,0,0,0,0
427,21.2612509,32.60058472,0,0,4.252250181,0.236236121,0,0,1.417416727,0.708708363,0,0,0,0,0,0,0,0
428,11.20803899,21.0150731,0,0,8.406029242,0.700502437,0,0,0,0,0,0,0,0,0,0,0,0
429,6.773626001,20.320878,6.773626001,13.547252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,14.65210565,23.19916728,1.221008804,0,4.884035216,0,0,0,0,0,0,0,0,0,0,0,0,0
431,12.93775389,21.99418161,3.881326166,0,5.175101555,0,0,0,0,0,0,0,0,0,0,0,0,0
432,12.57055638,12.57055638,0,0,3.591587537,0,0,0,2.693690653,0,0,0,0.897896884,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,20.55174438,20.55174438,4.110348875,0,4.110348875,0,0,0,4.110348875,0,0,0,0,0,0,0,0,0
435,14.42650044,16.83091718,0,0,7.21325022,0.400736123,0,0,2.40441674,0,0,0,0,0,0,0,0,0
436,2.652225174,13.26112587,0,0,1.768150116,0,0,0,0.884075058,0,0,0,0.884075058,0,13.26112587,0,0,13.26112587
437,19.09678275,38.19356551,9.548391376,7.956992814,1.591398563,0,0,0,0,0,0,0,0,0,0,0,0,0
438,8.745076569,13.11761485,2.186269142,0.437253828,4.809792113,0,0,0,0,0,0,0,0,0,0,0,0,0
439,14.30167593,26.56025531,2.043096562,2.043096562,6.129289686,0,0,0,0,0,0,0,0,0,0,0,0,0
440,7.431745171,19.81798712,0,0,9.908993561,0,0,0,0,0,0,0,0,0,0,0,0,0
441,26.31701229,6.579253074,0,8.772337431,4.386168716,0,0,0,13.15850615,0,0,0,0,0,0,0,0,0
442,7.577560707,15.15512141,0,0,9.471950883,0,0,0,0,0,0,0,1.894390177,0,0,0,0,0
443,21.48316024,26.25719585,4.77403561,0,4.77403561,0,0,0,0,0,0,0,0,0,0,0,0,0
444,14.51059222,18.13824028,14.51059222,2.418432037,4.836864075,0,0,0,0,0,0,0,0,0,0,0,0,0
445,14.83620261,23.73792418,2.967240523,1.483620261,8.901721568,0,0,0,0,0,0,0,0,0,0,0,0,0
446,13.19201905,21.10723048,0,0,10.55361524,2.638403809,0,0,0,0,0,0,0,0,0,0,0,0
447,13.62337735,21.79740377,0,0,10.89870188,2.724675471,0,0,0,0,0,0,0,0,0,0,0,0
448,13.65083241,27.30166482,0,0,13.65083241,0,0,0,0,0,0,0,0,0,0,0,0,0
449,13.6276087,27.25521739,0,0,13.6276087,0,0,0,0,0,0,0,0,0,0,0,0,0
450,13.57600205,27.1520041,0,0,13.57600205,0,0,0,0,0,0,0,0,0,0,0,0,0
451,13.50365598,27.00731197,0,0,13.50365598,0,0,0,0,0,0,0,0,0,0,0,0,0
452,13.49298063,26.98596127,0,0,13.49298063,0,0,0,0,0,0,0,0,0,0,0,0,0
453,13.41998341,26.83996682,0,0,13.41998341,0,0,0,0,0,0,0,0,0,0,0,0,0
454,13.56833801,27.13667602,0,0,13.56833801,0,0,0,0,0,0,0,0,0,0,0,0,0
455,13.58731027,27.17462054,0,0,13.58731027,0,0,0,0,0,0,0,0,0,0,0,0,0
456,13.69820571,27.39641142,0,0,13.69820571,0,0,0,0,0,0,0,0,0,0,0,0,0
457,11.34680282,17.02020423,14.18350352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,11.48671193,17.23006789,14.35838991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,32.19476248,13.41448437,8.04869062,5.365793746,2.682896873,0,0,0,10.73158749,0,0,0,2.682896873,0,0,0,0,0
460,33.01859866,13.75774944,8.254649666,5.503099777,2.751549889,0,0,0,11.00619955,0,0,0,2.751549889,0,0,0,0,0
461,5.251416998,15.75425099,0,0,10.502834,0,0,0,0,0,0,0,0,0,0,0,0,0
462,14.4495463,14.4495463,0,0,28.89909261,0,0,0,0,0,0,0,0,0,0,0,0,0
463,15.01289298,15.01289298,0,0,30.02578595,0,0,0,0,0,0,0,0,0,0,0,0,0
464,0,9.408507652,0,18.8170153,0,0,0,0,0,0,0,0,0,0,0,4.704253826,0,0
465,0,14.64715329,0,29.29430658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,0,14.64715329,0,29.29430658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,10.46701454,10.46701454,0,5.23350727,18.31727545,0,0,0,5.23350727,0,0,0,0,0,0,0,0,0
469,20.62443626,20.62443626,10.31221813,0,0,0,0,0,0,0,0,0,0,0,0,15.46832719,0,0
470,8.620963969,22.16819306,0,13.54722909,1.231566281,0,0,0,0,0,0,3.694698844,0,0,0,0,0,0
471,7.956234587,20.45888894,0,11.36604941,2.273209882,0,0,0,0,0,0,3.409814823,0,0,0,0,0,0
472,20.66175272,30.99262909,0.794682797,0,6.357462377,0,0,2.384048391,0,0,0,0,0.794682797,0,1.589365594,0,0,0
473,9.672074099,17.73213585,0.806006175,0,3.2240247,0,0,0,0,0,0,0,0,0,0,0,0.806006175,0
474,17.91624481,30.31979891,1.378172678,0,5.512690712,0,0,0,0,0,0,0,0,1.378172678,0,0,0,0
475,8.182582238,15.00140077,0.681881853,0,2.727527413,0,0,0,0,0,0,0,0,0.681881853,0,0,0.681881853,0
476,15.80487143,27.96246483,3.647278022,0,4.863037362,0,0,0,0,0,0,0,0,0,0,0,0,0
477,7.28149239,13.95619375,1.820373098,0,2.42716413,0,0,0,0,0,0,0,0,0,0,0,0.606791033,0
478,11.20799839,16.81199758,14.00999798,0,0,0,0,0,0,1.400999798,0,0,0,0,0,0,0,0
479,19.55351608,18.33142132,0,0,7.332568529,0,0,12.22094755,2.44418951,0,0,0,0,0,0,0,0,0
480,4.191348479,12.57404544,0,0,8.382696957,0,0,0,0,1.39711616,0,0,0,0,0,0,0,0
481,11.96620225,25.64186197,0,0,6.837829859,0,0,0,0,0,0,0,0,0,0,0,0,0
482,19.59095017,30.61085964,1.224434386,0,4.897737543,0,0,0,2.448868771,0,0,0,0,0,0,0,0,0
483,15.09574219,11.32180664,3.773935546,12.57978515,2.515957031,0,0,0,7.547871093,0,0,0,3.773935546,0,0,0,0,0
484,3.371422024,16.85711012,33.71422024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,16.53190083,24.79785125,0,0,8.265950415,0,0,0,1.180850059,0,0,0,0,0,0,0,0,0
487,12.76256413,20.2073932,0,0,7.444829074,0,0,0,1.063547011,0,0,0,0,0,0,0,0,0
488,16.68980649,8.344903243,0,8.344903243,12.51735486,0,0,0,8.344903243,0,0,0,0,0,0,0,0,0
489,28.15550498,2.559591362,0,5.119182724,2.559591362,0,2.559591362,0,15.35754817,0,0,0,2.559591362,0,0,0,0,0
490,27.81922611,2.529020555,0,5.05804111,2.529020555,0,2.529020555,0,15.17412333,0,0,0,2.529020555,0,0,0,0,0
491,27.88914767,2.535377061,0,5.070754122,2.535377061,0,2.535377061,0,15.21226236,0,0,0,2.535377061,0,0,0,0,0
492,28.27616063,2.570560057,0,5.141120115,2.570560057,0,2.570560057,0,15.42336034,0,0,0,2.570560057,0,0,0,0,0
493,28.49038303,2.590034821,0,5.180069642,2.590034821,0,2.590034821,0,15.54020893,0,0,0,2.590034821,0,0,0,0,0
494,29.11247683,2.646588803,0,0,7.939766409,0,2.646588803,0,15.87953282,0,0,0,2.646588803,0,0,0,0,0
495,17.67711641,27.77832579,5.050604689,0,5.050604689,0,0,0,0,0,0,0,0,0,0,0,0,0
496,20.86138311,31.29207467,5.689468121,2.844734061,3.792978747,0,0,0,0,0,0,0,0,0,0,0,0,0
497,19.89139747,31.25791031,5.68325642,1.420814105,4.262442315,0,0,0,0,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,0,0,0,0,0,9.216760599,12.28901413,0,0,0
499,17.72436509,26.58654764,2.215545637,2.215545637,2.215545637,0,0,0,0,0,0,0,0,0,0,0,0,0
500,16.95693211,25.43539817,2.119616514,0,4.239233029,0,0,0,0,0,0,0,0,0,0,0,0,0
