Order,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1
76,17.13895077,11.42596718,0,0,5.71298359,0.476081966,0,0,5.71298359,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,10.5796593,22.48177601,0,1.322457413,11.90211671,0,0,0,0,0,0,0,0,0,0,0,0,0
79,27.50706229,9.169020762,0,0,18.33804152,0,0,0,13.75353114,0,0,0,4.584510381,0,0,0,0,0
80,22.02966238,15.42076367,0,0,8.811864952,0,0,0,6.608898714,0,0,0,4.405932476,0,2.202966238,0,0,0
81,16.07127219,19.28552663,19.28552663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,12.90734642,23.97078621,1.843906632,0,7.375626527,0,0,0,0,0,0,0,0,0,0,0,0,0
83,13.47424898,25.02360525,1.924892712,0,7.699570847,0,0,0,0,0,0,0,0,0,0,0,0,0
84,15.78968343,7.894841715,0,7.894841715,11.84226257,0,0,0,7.894841715,0,0,0,0,0,0,0,0,0
85,22.57832066,18.06265653,9.031328263,0,0,0,0,0,4.515664132,0,0,0,4.515664132,0,0,0,0,0
86,21.69360961,18.07800801,3.615601602,0,7.231203203,0,0,3.615601602,4.519502002,1.807800801,0,0,0,0,0,0,0,0
87,6.692787031,0,0,0,0,0,6.692787031,0,3.346393516,0,0,0,0,0,0,0,0,0
88,8.257517957,20.64379489,8.257517957,0,16.51503591,4.128758979,0,0,0,0,0,0,0,0,0,0,0,0
89,8.214228201,16.4284564,10.95230427,0,0.684519017,0,0,0,0,0,0.684519017,0,0,0,0,0,0,0
90,0,0,0,0,4.589919673,0,9.179839347,0,0,0,4.589919673,0,0,0,0,0,0,0
91,24.58848346,21.85642975,5.464107436,0,8.196161154,0,0,0,5.464107436,0,0,0,0,0,0,0,0,0
92,23.89500944,13.03364151,2.172273586,0,4.344547171,0,0,0,6.516820757,0,0,0,2.172273586,0,0,0,0,0
93,24.21241168,13.20677001,2.201128334,0,4.402256669,0,0,0,6.603385003,0,0,0,2.201128334,0,0,0,0,0
94,23.95442741,13.06605131,2.177675219,0,4.355350437,0,0,0,6.533025656,2.177675219,0,0,2.177675219,0,0,0,0,0
95,24.16330807,13.17998622,2.19666437,0,4.39332874,0,0,0,6.589993109,2.19666437,0,0,2.19666437,0,0,0,0,0
96,22.08752752,13.25251651,2.208752752,0,4.417505505,0,0,0,6.626258257,0,0,0,2.208752752,0,0,0,0,0
97,22.01128334,13.20677001,2.201128334,0,4.402256669,0,0,0,6.603385003,0,0,0,2.201128334,0,0,0,0,0
98,23.79693183,12.98014463,2.163357439,0,4.326714878,0,0,0,6.490072317,0,0,0,2.163357439,0,0,0,2.163357439,0
99,24.40540429,13.31203871,2.218673118,0,4.437346235,0,0,0,6.656019353,2.218673118,0,0,2.218673118,0,0,0,0,0
100,32.8151915,13.1260766,2.187679433,0,4.375358866,0,0,0,10.93839717,0,0,0,2.187679433,0,0,0,0,0
101,29.81918157,12.77964924,2.12994154,0,4.259883081,0,0,0,10.6497077,0,0,0,2.12994154,0,0,0,0,0
102,13.27021552,22.92128135,1.206383229,0,5.227660659,0,0,0,0,0,0.402127743,0,0,0,0,0,0,0
103,13.42668386,23.01717233,1.918097694,0,4.155878337,0,0,0,0,0,0.319682949,0,0,0,0,0,0,0
104,28.46266985,14.90901754,6.776826155,0,0,0,0,0,8.132191386,0,0,0,0,4.066095693,4.066095693,0,0,0
105,29.27184388,15.3328706,6.969486638,0,0,0,0,0,8.363383965,0,0,0,0,4.181691983,4.181691983,0,0,0
106,29.78901068,15.6037675,7.09262159,0,0,0,0,0,8.511145909,0,0,0,0,4.255572954,4.255572954,0,0,0
107,30.2826029,15.8623158,7.210143547,0,0,0,0,0,8.652172256,0,0,0,0,4.326086128,4.326086128,0,0,0
108,23.17291324,32.44207854,0,0,13.90374794,0,0,0,3.089721765,0,0,0,0,0,0,0,0,0
109,10.34004961,22.15724917,0,7.385749722,1.477149944,0,0,0,0,0,0,0,0,1.477149944,1.477149944,0,0,0
110,10.40705753,22.30083756,0,7.433612519,1.486722504,0,0,0,0,0,0,0,0,1.486722504,1.486722504,0,0,0
111,11.62151534,21.79034126,0,7.263447085,1.452689417,0,0,1.452689417,0,0,0,0,0,1.452689417,0,0,0,0
112,11.51828855,21.59679103,0,7.198930342,1.439786068,0,0,1.439786068,0,0,0,0,0,1.439786068,0,0,0,0
113,11.37093205,21.3204976,0,7.106832532,1.421366506,0,0,1.421366506,0,0,0,0,0,1.421366506,0,0,0,0
114,11.38632774,21.34936451,0,7.116454835,1.423290967,0,0,1.423290967,0,0,0,0,0,1.423290967,0,0,0,0
115,8.228863762,19.20068211,0,2.742954587,5.485909175,0,0,0,0,0,0,0,0,0,0,0,0,0
116,12.05863089,21.10260406,1.507328861,4.521986584,6.029315445,0,0,0,1.507328861,0,0,0,0,0,0,0,0,0
117,21.31991422,9.137106095,0,6.091404063,9.137106095,0,0,15.22851016,3.045702032,0,0,0,0,0,0,0,0,0
118,24.02752123,16.01834748,13.3486229,0,5.339449162,0,0,0,5.339449162,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,13.21202729,17.61603638,5.872012128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6.874718456,13.74943691,6.874718456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,17.15528692,21.63057916,7.458820401,0,0,0.74588204,0,0,0,2.23764612,0,0,0,0,0,0,0,0
123,23.06804737,7.689349122,0,0,15.37869824,0,0,0,19.2233728,0,0,0,0,0,0,0,0,0
124,23.17733,7.725776666,0,0,15.45155333,0,0,0,19.31444167,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43440901,7.622939343,0,0,0
126,5.971477727,17.91443318,29.85738864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
