Order,I2,N2,O2,H2O,Selectivity,PLD,LCD,Void,Surface_Area,Pore_Volume,Density,Metal_Ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken_EN,Polarizability,Electron_Affinity,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1,I2_Heat,H2O_Heat,N2_Heat,O2_Heat,I2_Henry,N2_Henry,O2_Henry,H2O_Henry
121,2.971945374,1.694503483,0.569468373,0.173470516,4064.294892,6.66574,12.31272,0.421291,2022.44011,0.64536549,0.652794437,0.064935065,30,65.39,1.42,4.45,6.4,-60,6.874718456,13.74943691,6.874718456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4158.05705,707.2311,760.42838,787.46572,0.000387502,8.71E-07,9.43E-07,6.25E-07
122,149.4534099,1.37530845,0.525886695,0.276683002,228744.6769,3.95002,5.79346,0.105747,1.168915,0.10358385,1.02088309,0.043478261,29,63.546,1.45,4.48,6.7,119,17.15528692,21.63057916,7.458820401,0,0,0.74588204,0,0,0,2.23764612,0,0,0,0,0,0,0,0,7211.78312,1895.57061,1478.92325,1470.55002,0.0226243,7.60E-07,9.18E-07,4.42E-07
123,1.578640125,1.131658462,0.400761266,0.531837515,2549.165694,3.40502,4.56309,0.166821,0,0.12008827,1.389153148,0.055555556,29,63.546,1.45,4.48,6.7,119,23.06804737,7.689349122,0,0,15.37869824,0,0,0,19.2233728,0,0,0,0,0,0,0,0,0,5922.83831,2795.24359,1810.46999,1736.14178,0.000185228,5.39E-07,6.77E-07,3.11E-07
124,522.3190288,1.315626696,0.472509539,0.240066024,858426.9256,3.42507,5.33023,0.19105,0,0.13688137,1.395734126,0.055555556,29,63.546,1.45,4.48,6.7,119,23.17733,7.725776666,0,0,15.45155333,0,0,0,19.31444167,0,0,0,0,0,0,0,0,0,8555.74839,2211.31703,1829.69744,1735.18897,0.124524,6.85E-07,7.82E-07,3.36E-07
125,0.183477449,0.863963592,0.272626069,131.2732698,4.618927155,5.3983,7.19603,0.34737,1067.534778,0.48102725,0.722142043,0.0625,60,144.24,2.06,3.1,31.4,185,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43440901,7.622939343,0,0,0,2643.21842,15231.52794,793.53344,593.66996,1.94E-05,4.71E-07,5.15E-07,3.90E-07
126,99.66196687,0.544485989,0.185620687,0.190803383,360737.2435,6.12107,6.19538,0.17237,267.163356,0.12439188,1.385701396,0.052631579,30,65.39,1.42,4.45,6.4,-60,5.971477727,17.91443318,29.85738864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6350.82596,2037.03567,1294.51722,1273.07491,0.0132984,3.42E-07,3.74E-07,1.91E-07
127,157.9625732,0.511134609,0.204056657,0.086710093,656616.8081,5.29584,5.76612,0.0437252,0,0.03955342,1.105471963,0.018181818,42,95.94,1.9,3.9,12.8,72,38.64235328,18.6055775,1.431198269,0,5.724793078,0,0,0,12.88078443,0,0,0,0,0,0,0,0,0,7369.16641,1943.55515,1602.95998,1621.92968,0.0350208,3.92E-07,4.67E-07,2.14E-07
128,49.84097343,1.424940307,0.459872944,33.68187424,4671.128796,5.39457,7.26276,0.228743,398.46941,0.25702987,0.889947159,0.041666667,30,65.39,1.42,4.45,6.4,-60,15.5619218,20.42502237,0,0.972620113,4.863100564,0.972620113,0,0,0.972620113,0,0,0,0,0,0,0,0,0,5844.47579,8085.3648,1218.98272,1147.79844,0.00596157,7.85E-07,8.46E-07,4.61E-07
129,85.60483789,1.857854207,0.686890805,28.22588587,9273.435462,4.92881,6.30243,0.114072,35.168461,0.133075,0.857200829,0.022988506,28,58.6934,1.49,4.4,6.8,112,16.39425895,23.42036993,4.684073986,1.171018496,4.098564738,0,0,0,0,0,0,0,0,0,0,0,0,0,6170.03665,7575.8437,1447.39914,1460.60128,0.0140684,1.06E-06,1.25E-06,5.87E-07
130,276.7955309,0.630951176,0.229553668,29.6075886,30282.55678,3.55595,6.03525,0.160826,7.676984,0.14590809,1.102241812,0.013513514,11,22.989768,1.9,2.85,23.6,53,33.44598377,3.040543979,0,3.040543979,6.081087958,0,0,0,18.24326387,0,0,0,0,0,0,0,0,0,7649.15885,5517.49765,1673.98134,1567.28588,0.0758214,5.79E-07,6.79E-07,3.29E-07
131,0.005472123,0.250931266,0.090086652,128.5126566,0.141559088,3.57977,4.47419,0.100289,0,0.05959203,1.682926475,0.038461538,66,162.5,2.28,3.1,24.5,34,29.14099488,2.649181353,0,5.298362706,2.649181353,0,2.649181353,0,15.89508812,0,0,0,2.649181353,0,0,0,0,0,4261.02819,18166.73048,2198.83539,1434.47579,1.30E-05,2.18E-07,2.58E-07,1.39E-07
132,0.011096416,0.248611842,0.093013825,130.4668883,0.282764887,3.62097,4.51881,0.10476,0,0.06396866,1.637677021,0.038461538,64,157.25,2.33,3.1,23.5,13,28.75183753,2.613803411,0,5.227606823,2.613803411,0,2.613803411,0,15.68282047,0,0,0,2.613803411,0,0,0,0,0,4509.54512,17210.34026,2056.483,1402.27955,2.42E-05,2.21E-07,2.62E-07,1.42E-07
133,6.10917154,1.334672431,0.434301861,55.17485447,357.6139079,4.70691,5.50399,0.268774,19.730659,0.31575879,0.851200361,0.0625,30,65.39,1.42,4.45,6.4,-60,6.673475516,15.57144287,2.224491839,4.448983678,4.448983678,0,0,0,0,0,0,0,0,0,0,0,0,0,4837.97824,5980.08575,1125.51565,1025.5616,0.000826163,7.52E-07,8.31E-07,4.91E-07
134,79.31145282,0.555308208,0.197645746,4.372975824,51575.32795,4.34053,5.25312,0.066654,0,0.04881085,1.365557135,0.02173913,27,58.9332,1.52,4.3,7.5,64,21.99356359,35.52806426,11.84268809,1.691812584,5.075437752,0,0,0,0,0,0,0,0,0,0,0,0,0,7379.96069,5437.85322,1740.98895,1671.15927,0.0176368,3.86E-07,4.46E-07,1.91E-07
135,99.68950708,1.953302955,0.834107613,0.140604164,113489.305,3.71458,5.72951,0.0181382,0,0.01907772,0.950752876,0.016393443,25,54.93805,1.61,3.72,9.4,-50,14.79637332,20.34501331,1.849546665,0,0,0,0,1.849546665,1.849546665,0,0,0,0,3.699093329,7.398186658,0,0,3.699093329,7548.56281,1422.33818,1914.48833,1945.96229,0.0137559,1.08E-06,1.49E-06,5.60E-07
136,74.03884702,0.413482455,0.153893957,0.039370035,406753.3614,5.22176,6.82532,0.0645467,32.02959,0.05095387,1.266767326,0.019607843,26,55.847,1.56,4.06,8.4,15,24.40977349,36.61466023,15.25610843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6631.76882,1277.92648,1402.48923,1413.894,0.0132756,2.91E-07,3.24E-07,1.59E-07
137,29.57636407,0.529163908,0.19955402,0.259566161,99756.61988,5.55881,7.01349,0.0702323,47.683134,0.05799429,1.21102086,0.019607843,26,55.847,1.56,4.06,8.4,15,23.33557575,35.00336363,14.58473485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6031.53575,2716.15408,1418.00833,1446.9317,0.00424523,2.96E-07,3.52E-07,1.75E-07
138,74.89984577,2.071425157,0.745022996,0.387418749,77926.50577,8.55611,11.54104,0.209071,753.930497,0.29795292,0.70169139,0.019607843,26,55.847,1.56,4.06,8.4,15,13.52113173,20.2816976,8.450707331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6787.53756,1761.17847,1263.04767,1281.05472,0.00807983,1.08E-06,1.25E-06,6.55E-07
139,135.4095638,0.306274811,0.110655805,2.755566814,142274.414,5.51512,5.84364,0.0832945,4.379386,0.05793251,1.437785044,0.04,29,63.546,1.45,4.48,6.7,119,16.88860421,30.96244105,8.444302106,2.814767369,8.444302106,0,0,0,0,0,0,0,0,0,0,0,0,0,6969.57458,4754.64924,1361.30085,1311.68596,0.0272342,2.71E-07,2.94E-07,1.51E-07
140,42.45200868,0.661450416,0.216645883,0.418064079,109173.7551,5.58442,6.18949,0.196943,416.436903,0.14799969,1.330698734,0.035714286,29,63.546,1.45,4.48,6.7,119,13.83156139,27.66312277,11.52630115,2.305260231,6.915780693,0,0,0,0,0,0,0,0,0,0,0,0,0,5860.1493,3077.01417,1171.59338,1151.6268,0.0050151,3.39E-07,3.69E-07,2.07E-07
